13:49:15 [INFO] Opening target process: csgo.exe
13:49:15 [INFO] Starting signature scanning: 0 items
13:49:15 [INFO] Finished signature scanning: 0/0 items successful
13:49:15 [INFO] Starting netvar scanning: 0 items
13:50:31 [INFO] Opening target process: csgo.exe
13:50:31 [INFO] Starting signature scanning: 57 items
13:50:31 [INFO] Found signature: dwClientState => 0x588D9C
13:50:31 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
13:50:31 [INFO] Found signature: dwClientState_IsHLTV => 0x4D40
13:50:31 [INFO] Found signature: dwClientState_Map => 0x28C
13:50:31 [INFO] Found signature: dwClientState_MapDirectory => 0x188
13:50:31 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
13:50:31 [INFO] Found signature: dwClientState_PlayerInfo => 0x52B8
13:50:31 [INFO] Found signature: dwClientState_State => 0x108
13:50:31 [INFO] Found signature: dwClientState_ViewAngles => 0x4D88
13:50:31 [INFO] Found signature: clientstate_delta_ticks => 0x174
13:50:31 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D24
13:50:31 [INFO] Found signature: clientstate_choked_commands => 0x4D28
13:50:31 [INFO] Found signature: clientstate_net_channel => 0x9C
13:50:31 [INFO] Found signature: dwEntityList => 0x4D3D67C
13:50:31 [INFO] Found signature: dwForceAttack => 0x316ED6C
13:50:31 [INFO] Found signature: dwForceAttack2 => 0x316ED78
13:50:31 [INFO] Found signature: dwForceBackward => 0x316ED24
13:50:31 [INFO] Found signature: dwForceForward => 0x316ED90
13:50:31 [INFO] Found signature: dwForceJump => 0x51E0EA0
13:50:31 [INFO] Found signature: dwForceLeft => 0x316ED18
13:50:31 [INFO] Found signature: dwForceRight => 0x316ED3C
13:50:31 [INFO] Found signature: dwGameDir => 0x6274F8
13:50:31 [INFO] Found signature: dwGameRulesProxy => 0x525417C
13:50:31 [INFO] Found signature: dwGetAllClasses => 0xD4FCEC
13:50:31 [INFO] Found signature: dwGlobalVars => 0x588AA0
13:50:31 [INFO] Found signature: dwGlowObjectManager => 0x527EF18
13:50:31 [INFO] Found signature: dwInput => 0x5188818
13:50:31 [INFO] Found signature: dwInterfaceLinkList => 0x8F5654
13:50:31 [INFO] Found signature: dwLocalPlayer => 0xD29B1C
13:50:31 [INFO] Found signature: dwMouseEnable => 0xD2F6C0
13:50:31 [INFO] Found signature: dwMouseEnablePtr => 0xD2F690
13:50:31 [INFO] Found signature: dwPlayerResource => 0x316D0BC
13:50:31 [INFO] Found signature: dwRadarBase => 0x51723DC
13:50:31 [INFO] Found signature: dwSensitivity => 0xD2F55C
13:50:31 [INFO] Found signature: dwSensitivityPtr => 0xD2F530
13:50:31 [INFO] Found signature: dwSetClanTag => 0x89D60
13:50:31 [INFO] Found signature: dwViewMatrix => 0x4D2F094
13:50:31 [INFO] Found signature: dwWeaponTable => 0x51892DC
13:50:31 [INFO] Found signature: dwWeaponTableIndex => 0x324C
13:50:31 [INFO] Found signature: dwYawPtr => 0xD2F320
13:50:31 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD34540
13:50:31 [INFO] Found signature: dwbSendPackets => 0xD37DA
13:50:31 [INFO] Found signature: dwppDirect3DDevice9 => 0xA6030
13:50:31 [INFO] Found signature: m_pStudioHdr => 0x294C
